Train Metrics
Epoch 0, 25% 	 Loss : 1.3548e+03 	 Res : 3.6151e+01 	 Enc : 8.3645e+01 	 AEnc : 3.1075e+01 	 MSE : 9.5913e+01
Epoch 0, 50% 	 Loss : 2.6810e+02 	 Res : 6.3622e+00 	 Enc : 1.8015e+01 	 AEnc : 1.7150e+00 	 MSE : 5.4572e+01
Epoch 0, 75% 	 Loss : 5.0525e+01 	 Res : 3.2620e+00 	 Enc : 5.7066e-01 	 AEnc : 2.1174e-01 	 MSE : 5.2139e+01
Training Epoch 0 : 	 Train : 4.36448e+02 	 Res : 1.21965e+01 	 Enc : 2.63016e+01 	 AE : 8.55320e+00 	 MSE : 6.26359e+01
Validation Epoch 0 : 	 Train : 2.40663e+01 	 Res : 1.51412e+00 	 Enc : 2.06138e-01 	 AE : 1.51118e-01 	 MSE : 4.77725e+01
Training Epoch 0 finished, took current epoch 73.85s, cumulative time 73.83s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 1.9028e+01 	 Res : 1.0846e+00 	 Enc : 1.8060e-01 	 AEnc : 1.3417e-01 	 MSE : 4.6346e+01
Epoch 1, 50% 	 Loss : 1.1154e+01 	 Res : 6.6958e-01 	 Enc : 1.5826e-01 	 AEnc : 2.0667e-02 	 MSE : 4.3290e+01
Epoch 1, 75% 	 Loss : 8.4491e+00 	 Res : 5.0257e-01 	 Enc : 1.2216e-01 	 AEnc : 1.2360e-02 	 MSE : 4.0781e+01
Training Epoch 1 : 	 Train : 1.14456e+01 	 Res : 6.68708e-01 	 Enc : 1.41887e-01 	 AE : 4.46285e-02 	 MSE : 4.29263e+01
Validation Epoch 1 : 	 Train : 6.00010e+00 	 Res : 3.61162e-01 	 Enc : 9.15010e-02 	 AE : 6.11126e-03 	 MSE : 4.15165e+01
Training Epoch 1 finished, took current epoch 71.21s, cumulative time 145.02s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 5.5733e+00 	 Res : 3.3268e-01 	 Enc : 8.4697e-02 	 AEnc : 5.5727e-03 	 MSE : 3.9873e+01
Epoch 2, 50% 	 Loss : 5.0955e+00 	 Res : 3.1119e-01 	 Enc : 7.5685e-02 	 AEnc : 5.0713e-03 	 MSE : 3.9390e+01
Epoch 2, 75% 	 Loss : 4.5633e+00 	 Res : 2.7514e-01 	 Enc : 6.9260e-02 	 AEnc : 4.3069e-03 	 MSE : 3.8436e+01
