Train Metrics
Epoch 0, 25% 	 Loss : 1.0569e+05 	 Res : 3.2041e+03 	 Enc : 2.2526e+03 	 AEnc : 1.2926e+03 	 MSE : 1.9519e+03
Epoch 0, 50% 	 Loss : 1.0684e+05 	 Res : 4.1015e+03 	 Enc : 2.1292e+03 	 AEnc : 1.2159e+03 	 MSE : 1.9036e+03
Epoch 0, 75% 	 Loss : 8.7717e+04 	 Res : 3.0035e+03 	 Enc : 2.0186e+03 	 AEnc : 7.2461e+02 	 MSE : 1.1837e+03
Training Epoch 0 : 	 Train : 9.40001e+04 	 Res : 3.16381e+03 	 Enc : 2.08768e+03 	 AE : 9.36859e+02 	 MSE : 1.47033e+03
Validation Epoch 0 : 	 Train : 7.36977e+04 	 Res : 2.19962e+03 	 Enc : 1.85333e+03 	 AE : 4.87507e+02 	 MSE : 7.87263e+02
Training Epoch 0 finished, took current epoch 151.01s, cumulative time 150.95s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 6.8987e+04 	 Res : 2.5015e+03 	 Enc : 1.8071e+03 	 AEnc : 3.4300e+02 	 MSE : 5.8205e+02
Epoch 1, 50% 	 Loss : 8.3125e+04 	 Res : 3.7326e+03 	 Enc : 2.1754e+03 	 AEnc : 3.6731e+02 	 MSE : 6.3827e+02
Epoch 1, 75% 	 Loss : 5.8610e+04 	 Res : 9.8850e+02 	 Enc : 2.0214e+03 	 AEnc : 2.2585e+02 	 MSE : 4.2334e+02
Training Epoch 1 : 	 Train : 6.31695e+04 	 Res : 1.95618e+03 	 Enc : 1.88665e+03 	 AE : 2.57389e+02 	 MSE : 4.64325e+02
Validation Epoch 1 : 	 Train : 3.91031e+04 	 Res : 2.72636e+02 	 Enc : 1.51948e+03 	 AE : 9.68719e+01 	 MSE : 2.23871e+02
Training Epoch 1 finished, took current epoch 151.19s, cumulative time 302.10s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 3.1878e+04 	 Res : 2.4756e+02 	 Enc : 1.2529e+03 	 AEnc : 4.1854e+01 	 MSE : 1.3437e+02
