Train Metrics
Epoch 0, 25% 	 Loss : 7.1850e+03 	 Res : 1.8848e+02 	 Enc : 2.5108e+02 	 AEnc : 1.0606e+02 	 MSE : 1.9762e+02
Epoch 0, 50% 	 Loss : 1.3316e+03 	 Res : 1.4675e+01 	 Enc : 6.4844e+01 	 AEnc : 7.3415e+00 	 MSE : 6.6481e+01
Epoch 0, 75% 	 Loss : 1.1311e+02 	 Res : 4.1509e+00 	 Enc : 1.5624e+00 	 AEnc : 2.0410e-01 	 MSE : 5.3324e+01
Training Epoch 0 : 	 Train : 2.22906e+03 	 Res : 5.40699e+01 	 Enc : 8.15146e+01 	 AE : 2.93333e+01 	 MSE : 9.27614e+01
Validation Epoch 0 : 	 Train : 4.22200e+01 	 Res : 2.45045e+00 	 Enc : 1.05164e-01 	 AE : 2.18853e-01 	 MSE : 5.07344e+01
Training Epoch 0 finished, took current epoch 100.80s, cumulative time 100.66s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 3.4564e+01 	 Res : 2.1802e+00 	 Enc : 9.9881e-02 	 AEnc : 1.2625e-01 	 MSE : 4.9230e+01
Epoch 1, 50% 	 Loss : 2.7067e+01 	 Res : 1.4480e+00 	 Enc : 9.3238e-02 	 AEnc : 1.2760e-01 	 MSE : 4.6241e+01
Epoch 1, 75% 	 Loss : 1.6446e+01 	 Res : 8.1907e-01 	 Enc : 9.7509e-02 	 AEnc : 3.7217e-02 	 MSE : 4.2226e+01
Training Epoch 1 : 	 Train : 2.28137e+01 	 Res : 1.26909e+00 	 Enc : 9.62794e-02 	 AE : 7.66316e-02 	 MSE : 4.51574e+01
Validation Epoch 1 : 	 Train : 1.08050e+01 	 Res : 4.87980e-01 	 Enc : 8.43895e-02 	 AE : 7.76205e-03 	 MSE : 4.27677e+01
Training Epoch 1 finished, took current epoch 98.62s, cumulative time 199.24s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 9.3831e+00 	 Res : 3.8585e-01 	 Enc : 8.4935e-02 	 AEnc : 5.5749e-03 	 MSE : 4.0390e+01
Epoch 2, 50% 	 Loss : 7.8832e+00 	 Res : 3.1338e-01 	 Enc : 7.2771e-02 	 AEnc : 3.2829e-03 	 MSE : 3.9088e+01
Epoch 2, 75% 	 Loss : 6.8559e+00 	 Res : 2.7418e-01 	 Enc : 5.8076e-02 	 AEnc : 2.1559e-03 	 MSE : 3.7505e+01
Training Epoch 2 : 	 Train : 7.64224e+00 	 Res : 3.09469e-01 	 Enc : 6.69980e-02 	 AE : 3.27723e-03 	 MSE : 3.83284e+01
Validation Epoch 2 : 	 Train : 6.33070e+00 	 Res : 2.75904e-01 	 Enc : 4.81724e-02 	 AE : 2.04516e-03 	 MSE : 3.71534e+01
Training Epoch 2 finished, took current epoch 97.40s, cumulative time 296.62s
Current Learning rate : 0.001
MODEL SAVED
Epoch 3, 25% 	 Loss : 5.8732e+00 	 Res : 2.4255e-01 	 Enc : 4.4177e-02 	 AEnc : 1.8015e-03 	 MSE : 3.5336e+01
Epoch 3, 50% 	 Loss : 5.7506e+00 	 Res : 2.4080e-01 	 Enc : 3.9126e-02 	 AEnc : 1.8072e-03 	 MSE : 3.5760e+01
Epoch 3, 75% 	 Loss : 5.5995e+00 	 Res : 2.3218e-01 	 Enc : 3.7194e-02 	 AEnc : 1.7884e-03 	 MSE : 3.6163e+01
Training Epoch 3 : 	 Train : 5.61933e+00 	 Res : 2.34083e-01 	 Enc : 3.81263e-02 	 AE : 1.77097e-03 	 MSE : 3.53330e+01
Validation Epoch 3 : 	 Train : 5.11503e+00 	 Res : 2.09003e-01 	 Enc : 3.85375e-02 	 AE : 1.71319e-03 	 MSE : 3.39784e+01
Training Epoch 3 finished, took current epoch 98.89s, cumulative time 395.48s
Current Learning rate : 0.001
MODEL SAVED
Epoch 4, 25% 	 Loss : 4.7327e+00 	 Res : 1.9200e-01 	 Enc : 2.7646e-02 	 AEnc : 1.5590e-03 	 MSE : 3.2400e+01
Epoch 4, 50% 	 Loss : 4.5307e+00 	 Res : 1.9091e-01 	 Enc : 2.1823e-02 	 AEnc : 1.4987e-03 	 MSE : 3.1187e+01
Epoch 4, 75% 	 Loss : 4.3484e+00 	 Res : 1.8362e-01 	 Enc : 1.8331e-02 	 AEnc : 1.3768e-03 	 MSE : 3.0580e+01
Training Epoch 4 : 	 Train : 4.46753e+00 	 Res : 1.86390e-01 	 Enc : 2.11086e-02 	 AE : 1.43922e-03 	 MSE : 3.09171e+01
Validation Epoch 4 : 	 Train : 4.10571e+00 	 Res : 1.71195e-01 	 Enc : 1.52862e-02 	 AE : 1.42230e-03 	 MSE : 2.81400e+01
Training Epoch 4 finished, took current epoch 98.43s, cumulative time 493.73s
Current Learning rate : 0.001
MODEL SAVED
Epoch 5, 25% 	 Loss : 3.9398e+00 	 Res : 1.7048e-01 	 Enc : 1.4579e-02 	 AEnc : 1.3589e-03 	 MSE : 2.5849e+01
Epoch 5, 50% 	 Loss : 3.8842e+00 	 Res : 1.6259e-01 	 Enc : 1.3643e-02 	 AEnc : 1.2735e-03 	 MSE : 2.6515e+01
Epoch 5, 75% 	 Loss : 3.6863e+00 	 Res : 1.5674e-01 	 Enc : 1.2548e-02 	 AEnc : 1.0309e-03 	 MSE : 2.5397e+01
Training Epoch 5 : 	 Train : 3.75960e+00 	 Res : 1.58104e-01 	 Enc : 1.31201e-02 	 AE : 1.12670e-03 	 MSE : 2.55999e+01
Validation Epoch 5 : 	 Train : 3.42329e+00 	 Res : 1.33567e-01 	 Enc : 1.13633e-02 	 AE : 6.84229e-04 	 MSE : 2.60533e+01
Training Epoch 5 finished, took current epoch 97.68s, cumulative time 591.35s
Current Learning rate : 0.001
MODEL SAVED
Epoch 6, 25% 	 Loss : 3.1816e+00 	 Res : 1.2637e-01 	 Enc : 1.1249e-02 	 AEnc : 6.9894e-04 	 MSE : 2.1817e+01
Epoch 6, 50% 	 Loss : 3.6324e+00 	 Res : 1.5453e-01 	 Enc : 1.1570e-02 	 AEnc : 8.3035e-04 	 MSE : 2.6770e+01
Epoch 6, 75% 	 Loss : 3.3167e+00 	 Res : 1.3494e-01 	 Enc : 1.0512e-02 	 AEnc : 6.1790e-04 	 MSE : 2.3787e+01
Training Epoch 6 : 	 Train : 3.33117e+00 	 Res : 1.35887e-01 	 Enc : 1.08940e-02 	 AE : 7.02831e-04 	 MSE : 2.35325e+01
Validation Epoch 6 : 	 Train : 3.12931e+00 	 Res : 1.22227e-01 	 Enc : 9.99169e-03 	 AE : 5.72960e-04 	 MSE : 2.26741e+01
Training Epoch 6 finished, took current epoch 99.32s, cumulative time 689.67s
Current Learning rate : 0.001
MODEL SAVED
Epoch 7, 25% 	 Loss : 2.9826e+00 	 Res : 1.1683e-01 	 Enc : 9.8474e-03 	 AEnc : 5.7656e-04 	 MSE : 2.1128e+01
Epoch 7, 50% 	 Loss : 3.1324e+00 	 Res : 1.2613e-01 	 Enc : 9.8110e-03 	 AEnc : 5.8251e-04 	 MSE : 2.1842e+01
Epoch 7, 75% 	 Loss : 2.9792e+00 	 Res : 1.1814e-01 	 Enc : 9.4806e-03 	 AEnc : 5.2900e-04 	 MSE : 2.0941e+01
Training Epoch 7 : 	 Train : 3.05549e+00 	 Res : 1.21813e-01 	 Enc : 9.61920e-03 	 AE : 5.62716e-04 	 MSE : 2.15385e+01
Validation Epoch 7 : 	 Train : 3.02381e+00 	 Res : 1.23217e-01 	 Enc : 8.57771e-03 	 AE : 7.27465e-04 	 MSE : 2.07060e+01
Training Epoch 7 finished, took current epoch 98.94s, cumulative time 788.54s
Current Learning rate : 0.001
Epoch 8, 25% 	 Loss : 3.0030e+00 	 Res : 1.2289e-01 	 Enc : 9.2528e-03 	 AEnc : 5.8641e-04 	 MSE : 2.0001e+01
Epoch 8, 50% 	 Loss : 2.8469e+00 	 Res : 1.1384e-01 	 Enc : 8.6911e-03 	 AEnc : 5.0146e-04 	 MSE : 1.9099e+01
Epoch 8, 75% 	 Loss : 2.7639e+00 	 Res : 1.0792e-01 	 Enc : 8.3456e-03 	 AEnc : 4.6954e-04 	 MSE : 1.8804e+01
Training Epoch 8 : 	 Train : 2.87203e+00 	 Res : 1.14142e-01 	 Enc : 8.67111e-03 	 AE : 5.07644e-04 	 MSE : 1.92853e+01
Validation Epoch 8 : 	 Train : 2.74109e+00 	 Res : 1.04064e-01 	 Enc : 8.35474e-03 	 AE : 3.43360e-04 	 MSE : 1.77606e+01
Training Epoch 8 finished, took current epoch 98.63s, cumulative time 887.07s
Current Learning rate : 0.001
MODEL SAVED
Epoch 9, 25% 	 Loss : 2.6893e+00 	 Res : 1.0613e-01 	 Enc : 8.1770e-03 	 AEnc : 4.0619e-04 	 MSE : 1.7819e+01
Epoch 9, 50% 	 Loss : 2.7057e+00 	 Res : 1.0503e-01 	 Enc : 7.9696e-03 	 AEnc : 3.9128e-04 	 MSE : 1.8897e+01
Epoch 9, 75% 	 Loss : 2.8055e+00 	 Res : 1.0763e-01 	 Enc : 7.9952e-03 	 AEnc : 3.7892e-04 	 MSE : 1.9600e+01
Training Epoch 9 : 	 Train : 2.71981e+00 	 Res : 1.06296e-01 	 Enc : 8.00224e-03 	 AE : 3.97976e-04 	 MSE : 1.88754e+01
Validation Epoch 9 : 	 Train : 2.64666e+00 	 Res : 1.02579e-01 	 Enc : 7.51050e-03 	 AE : 3.01101e-04 	 MSE : 1.55054e+01
Training Epoch 9 finished, took current epoch 97.46s, cumulative time 984.46s
Current Learning rate : 0.001
MODEL SAVED
Epoch 10, 25% 	 Loss : 2.7562e+00 	 Res : 1.1245e-01 	 Enc : 7.7304e-03 	 AEnc : 5.7968e-04 	 MSE : 1.8117e+01
Epoch 10, 50% 	 Loss : 2.5185e+00 	 Res : 9.7948e-02 	 Enc : 7.2941e-03 	 AEnc : 7.2442e-04 	 MSE : 1.5917e+01
Epoch 10, 75% 	 Loss : 2.6029e+00 	 Res : 1.0369e-01 	 Enc : 7.7310e-03 	 AEnc : 8.4853e-04 	 MSE : 1.6291e+01
Training Epoch 10 : 	 Train : 2.60912e+00 	 Res : 1.03683e-01 	 Enc : 7.59116e-03 	 AE : 6.44556e-04 	 MSE : 1.66628e+01
