Train Metrics
Epoch 0, 25% 	 Loss : 5.1126e+03 	 Res : 7.1716e+01 	 Enc : 4.0120e+02 	 AEnc : 2.9903e+01 	 MSE : 1.1014e+02
Epoch 0, 50% 	 Loss : 2.7994e+03 	 Res : 3.2998e+01 	 Enc : 2.3756e+02 	 AEnc : 2.6662e+00 	 MSE : 6.3210e+01
Epoch 0, 75% 	 Loss : 8.2521e+02 	 Res : 1.7352e+01 	 Enc : 5.2111e+01 	 AEnc : 1.5061e+00 	 MSE : 5.8414e+01
Training Epoch 0 : 	 Train : 2.29208e+03 	 Res : 3.27105e+01 	 Enc : 1.76750e+02 	 AE : 8.91014e+00 	 MSE : 7.21105e+01
Validation Epoch 0 : 	 Train : 1.92320e+02 	 Res : 4.88563e+00 	 Enc : 1.28050e+00 	 AE : 6.10174e-01 	 MSE : 4.90283e+01
Training Epoch 0 finished, took current epoch 62.11s, cumulative time 62.07s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 1.5095e+02 	 Res : 3.5743e+00 	 Enc : 1.0166e+00 	 AEnc : 4.7736e-01 	 MSE : 4.6665e+01
Epoch 1, 50% 	 Loss : 9.3898e+01 	 Res : 1.7312e+00 	 Enc : 8.4789e-01 	 AEnc : 2.6194e-01 	 MSE : 4.1942e+01
Epoch 1, 75% 	 Loss : 6.3238e+01 	 Res : 1.0407e+00 	 Enc : 5.5475e-01 	 AEnc : 1.5077e-01 	 MSE : 3.9620e+01
Training Epoch 1 : 	 Train : 8.81783e+01 	 Res : 1.75310e+00 	 Enc : 7.09216e-01 	 AE : 2.46436e-01 	 MSE : 4.03944e+01
Validation Epoch 1 : 	 Train : 3.23519e+01 	 Res : 3.98252e-01 	 Enc : 3.15634e-01 	 AE : 6.70093e-02 	 MSE : 2.83489e+01
Training Epoch 1 finished, took current epoch 59.11s, cumulative time 121.13s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 2.7615e+01 	 Res : 3.0450e-01 	 Enc : 2.4347e-01 	 AEnc : 4.9254e-02 	 MSE : 2.7811e+01
Epoch 2, 50% 	 Loss : 2.1282e+01 	 Res : 1.8241e-01 	 Enc : 1.6513e-01 	 AEnc : 2.9121e-02 	 MSE : 2.2289e+01
Epoch 2, 75% 	 Loss : 1.8202e+01 	 Res : 1.4708e-01 	 Enc : 1.2199e-01 	 AEnc : 1.9701e-02 	 MSE : 1.9770e+01
Training Epoch 2 : 	 Train : 2.11210e+01 	 Res : 1.93471e-01 	 Enc : 1.57436e-01 	 AE : 2.92583e-02 	 MSE : 2.18458e+01
Validation Epoch 2 : 	 Train : 1.60138e+01 	 Res : 1.27111e-01 	 Enc : 8.65619e-02 	 AE : 1.72146e-02 	 MSE : 1.57224e+01
Training Epoch 2 finished, took current epoch 59.29s, cumulative time 180.36s
Current Learning rate : 0.001
MODEL SAVED
Epoch 3, 25% 	 Loss : 1.5809e+01 	 Res : 1.1435e-01 	 Enc : 8.0271e-02 	 AEnc : 1.6773e-02 	 MSE : 1.5250e+01
Epoch 3, 50% 	 Loss : 1.4234e+01 	 Res : 9.8564e-02 	 Enc : 6.4233e-02 	 AEnc : 1.4684e-02 	 MSE : 1.2225e+01
Epoch 3, 75% 	 Loss : 1.3789e+01 	 Res : 9.1436e-02 	 Enc : 5.6609e-02 	 AEnc : 1.4091e-02 	 MSE : 1.1210e+01
Training Epoch 3 : 	 Train : 1.43430e+01 	 Res : 9.67609e-02 	 Enc : 6.31799e-02 	 AE : 1.47443e-02 	 MSE : 1.22427e+01
Validation Epoch 3 : 	 Train : 1.27067e+01 	 Res : 8.22770e-02 	 Enc : 4.53310e-02 	 AE : 1.29562e-02 	 MSE : 1.12517e+01
Training Epoch 3 finished, took current epoch 58.85s, cumulative time 239.16s
Current Learning rate : 0.001
MODEL SAVED
Epoch 4, 25% 	 Loss : 1.2470e+01 	 Res : 7.6780e-02 	 Enc : 4.6083e-02 	 AEnc : 1.2632e-02 	 MSE : 9.1982e+00
Epoch 4, 50% 	 Loss : 1.2814e+01 	 Res : 7.6023e-02 	 Enc : 4.4325e-02 	 AEnc : 1.2508e-02 	 MSE : 1.0040e+01
Epoch 4, 75% 	 Loss : 1.2204e+01 	 Res : 8.3502e-02 	 Enc : 4.0954e-02 	 AEnc : 1.1905e-02 	 MSE : 8.4101e+00
Training Epoch 4 : 	 Train : 1.23684e+01 	 Res : 7.76142e-02 	 Enc : 4.21039e-02 	 AE : 1.21608e-02 	 MSE : 8.99146e+00
Validation Epoch 4 : 	 Train : 1.15701e+01 	 Res : 8.31411e-02 	 Enc : 3.45466e-02 	 AE : 1.08877e-02 	 MSE : 7.67701e+00
Training Epoch 4 finished, took current epoch 58.64s, cumulative time 297.79s
Current Learning rate : 0.001
Epoch 5, 25% 	 Loss : 1.1397e+01 	 Res : 6.4907e-02 	 Enc : 3.5392e-02 	 AEnc : 1.0548e-02 	 MSE : 7.8139e+00
Epoch 5, 50% 	 Loss : 1.1458e+01 	 Res : 7.2590e-02 	 Enc : 3.2758e-02 	 AEnc : 1.0630e-02 	 MSE : 7.7854e+00
Epoch 5, 75% 	 Loss : 1.1118e+01 	 Res : 6.6565e-02 	 Enc : 3.1417e-02 	 AEnc : 1.0389e-02 	 MSE : 7.8307e+00
Training Epoch 5 : 	 Train : 1.12249e+01 	 Res : 6.61781e-02 	 Enc : 3.23640e-02 	 AE : 1.03471e-02 	 MSE : 7.65612e+00
Validation Epoch 5 : 	 Train : 1.04244e+01 	 Res : 5.14227e-02 	 Enc : 2.88665e-02 	 AE : 9.01288e-03 	 MSE : 6.49029e+00
Training Epoch 5 finished, took current epoch 59.23s, cumulative time 356.98s
Current Learning rate : 0.001
MODEL SAVED
Epoch 6, 25% 	 Loss : 1.0448e+01 	 Res : 5.7098e-02 	 Enc : 2.8337e-02 	 AEnc : 9.6175e-03 	 MSE : 6.9347e+00
Epoch 6, 50% 	 Loss : 1.0544e+01 	 Res : 5.7866e-02 	 Enc : 2.6833e-02 	 AEnc : 9.4534e-03 	 MSE : 6.8411e+00
Epoch 6, 75% 	 Loss : 1.0133e+01 	 Res : 5.8269e-02 	 Enc : 2.5448e-02 	 AEnc : 9.0940e-03 	 MSE : 6.1759e+00
Training Epoch 6 : 	 Train : 1.03435e+01 	 Res : 5.74412e-02 	 Enc : 2.61162e-02 	 AE : 9.27311e-03 	 MSE : 6.52627e+00
Validation Epoch 6 : 	 Train : 9.63191e+00 	 Res : 4.77818e-02 	 Enc : 2.19499e-02 	 AE : 8.19126e-03 	 MSE : 5.83596e+00
Training Epoch 6 finished, took current epoch 59.34s, cumulative time 416.28s
Current Learning rate : 0.001
MODEL SAVED
Epoch 7, 25% 	 Loss : 9.8998e+00 	 Res : 6.1074e-02 	 Enc : 2.2226e-02 	 AEnc : 8.4465e-03 	 MSE : 6.7068e+00
Epoch 7, 50% 	 Loss : 9.7650e+00 	 Res : 6.3377e-02 	 Enc : 2.0635e-02 	 AEnc : 8.2359e-03 	 MSE : 6.8900e+00
Epoch 7, 75% 	 Loss : 1.0016e+01 	 Res : 6.6020e-02 	 Enc : 2.0630e-02 	 AEnc : 8.1240e-03 	 MSE : 7.4777e+00
Training Epoch 7 : 	 Train : 9.89439e+00 	 Res : 6.32243e-02 	 Enc : 2.08482e-02 	 AE : 8.11619e-03 	 MSE : 7.15609e+00
Validation Epoch 7 : 	 Train : 9.76091e+00 	 Res : 7.22897e-02 	 Enc : 1.85146e-02 	 AE : 7.02611e-03 	 MSE : 9.23733e+00
Training Epoch 7 finished, took current epoch 59.20s, cumulative time 475.47s
Current Learning rate : 0.001
Epoch 8, 25% 	 Loss : 9.6601e+00 	 Res : 6.4279e-02 	 Enc : 1.9280e-02 	 AEnc : 7.7527e-03 	 MSE : 7.3032e+00
Epoch 8, 50% 	 Loss : 9.2506e+00 	 Res : 5.5184e-02 	 Enc : 1.8112e-02 	 AEnc : 7.4253e-03 	 MSE : 5.6098e+00
Epoch 8, 75% 	 Loss : 9.8492e+00 	 Res : 6.1114e-02 	 Enc : 1.7874e-02 	 AEnc : 7.4478e-03 	 MSE : 6.7106e+00
Training Epoch 8 : 	 Train : 9.52090e+00 	 Res : 5.96321e-02 	 Enc : 1.80393e-02 	 AE : 7.35019e-03 	 MSE : 6.37442e+00
Validation Epoch 8 : 	 Train : 8.98242e+00 	 Res : 4.49426e-02 	 Enc : 1.68035e-02 	 AE : 6.38155e-03 	 MSE : 6.32743e+00
Training Epoch 8 finished, took current epoch 58.11s, cumulative time 533.53s
Current Learning rate : 0.001
MODEL SAVED
Epoch 9, 25% 	 Loss : 9.1655e+00 	 Res : 6.0405e-02 	 Enc : 1.5909e-02 	 AEnc : 6.8515e-03 	 MSE : 6.5294e+00
Epoch 9, 50% 	 Loss : 9.2049e+00 	 Res : 4.6770e-02 	 Enc : 1.5544e-02 	 AEnc : 1.0767e-02 	 MSE : 5.5916e+00
Epoch 9, 75% 	 Loss : 9.4412e+00 	 Res : 7.2238e-02 	 Enc : 1.5078e-02 	 AEnc : 6.7678e-03 	 MSE : 7.2526e+00
Training Epoch 9 : 	 Train : 9.19170e+00 	 Res : 5.68656e-02 	 Enc : 1.52597e-02 	 AE : 7.54541e-03 	 MSE : 6.26302e+00
Validation Epoch 9 : 	 Train : 8.59191e+00 	 Res : 4.29830e-02 	 Enc : 1.39551e-02 	 AE : 5.01561e-03 	 MSE : 3.76933e+00
Training Epoch 9 finished, took current epoch 59.20s, cumulative time 592.68s
Current Learning rate : 0.001
MODEL SAVED
Epoch 10, 25% 	 Loss : 8.4463e+00 	 Res : 4.2422e-02 	 Enc : 1.3618e-02 	 AEnc : 5.1058e-03 	 MSE : 5.1159e+00
Epoch 10, 50% 	 Loss : 8.7189e+00 	 Res : 4.3182e-02 	 Enc : 1.3674e-02 	 AEnc : 5.3727e-03 	 MSE : 5.0008e+00
Epoch 10, 75% 	 Loss : 8.7489e+00 	 Res : 4.1555e-02 	 Enc : 1.3065e-02 	 AEnc : 5.0015e-03 	 MSE : 4.9041e+00
Training Epoch 10 : 	 Train : 8.65436e+00 	 Res : 4.28744e-02 	 Enc : 1.33078e-02 	 AE : 5.11788e-03 	 MSE : 4.97511e+00
Validation Epoch 10 : 	 Train : 8.45014e+00 	 Res : 4.95121e-02 	 Enc : 1.24607e-02 	 AE : 4.88939e-03 	 MSE : 2.82965e+00
Training Epoch 10 finished, took current epoch 58.52s, cumulative time 651.16s
Current Learning rate : 0.001
Epoch 11, 25% 	 Loss : 8.7219e+00 	 Res : 5.4462e-02 	 Enc : 1.2436e-02 	 AEnc : 4.6011e-03 	 MSE : 6.2427e+00
Epoch 11, 50% 	 Loss : 8.7605e+00 	 Res : 5.2483e-02 	 Enc : 1.2250e-02 	 AEnc : 4.5269e-03 	 MSE : 6.0132e+00
Epoch 11, 75% 	 Loss : 8.6467e+00 	 Res : 5.1823e-02 	 Enc : 1.1762e-02 	 AEnc : 4.4175e-03 	 MSE : 6.1787e+00
Training Epoch 11 : 	 Train : 8.68335e+00 	 Res : 5.30272e-02 	 Enc : 1.20474e-02 	 AE : 4.50284e-03 	 MSE : 6.15941e+00
Validation Epoch 11 : 	 Train : 8.39782e+00 	 Res : 4.93938e-02 	 Enc : 1.13104e-02 	 AE : 3.86635e-03 	 MSE : 4.57090e+00
Training Epoch 11 finished, took current epoch 58.56s, cumulative time 709.68s
Current Learning rate : 0.001
Epoch 12, 25% 	 Loss : 8.7144e+00 	 Res : 5.3893e-02 	 Enc : 1.1558e-02 	 AEnc : 4.8238e-03 	 MSE : 5.8615e+00
Epoch 12, 50% 	 Loss : 8.3610e+00 	 Res : 4.4822e-02 	 Enc : 1.1065e-02 	 AEnc : 4.1837e-03 	 MSE : 5.2990e+00
Epoch 12, 75% 	 Loss : 8.3677e+00 	 Res : 5.3848e-02 	 Enc : 1.0867e-02 	 AEnc : 4.7198e-03 	 MSE : 5.4209e+00
Training Epoch 12 : 	 Train : 8.47474e+00 	 Res : 4.85616e-02 	 Enc : 1.10077e-02 	 AE : 4.44661e-03 	 MSE : 5.47921e+00
Validation Epoch 12 : 	 Train : 8.05486e+00 	 Res : 3.98569e-02 	 Enc : 1.03868e-02 	 AE : 3.56477e-03 	 MSE : 3.34766e+00
Training Epoch 12 finished, took current epoch 59.63s, cumulative time 769.25s
Current Learning rate : 0.001
MODEL SAVED
