Train Metrics
Epoch 0, 25% 	 Loss : 3.2231e+04 	 Res : 5.0236e+02 	 Enc : 5.8376e+02 	 AEnc : 3.0289e+02 	 MSE : 4.6501e+02
Epoch 0, 50% 	 Loss : 8.8185e+03 	 Res : 2.7252e+01 	 Enc : 3.0478e+02 	 AEnc : 3.6568e+01 	 MSE : 1.2749e+02
Epoch 0, 75% 	 Loss : 5.4209e+02 	 Res : 5.9382e+00 	 Enc : 7.2874e+00 	 AEnc : 8.9467e-01 	 MSE : 5.3095e+01
Training Epoch 0 : 	 Train : 1.07108e+04 	 Res : 1.38506e+02 	 Enc : 2.28950e+02 	 AE : 8.76804e+01 	 MSE : 1.76428e+02
Validation Epoch 0 : 	 Train : 1.44776e+02 	 Res : 1.29136e+00 	 Enc : 4.44068e-01 	 AE : 2.57986e-01 	 MSE : 4.75228e+01
Training Epoch 0 finished, took current epoch 246.81s, cumulative time 246.74s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 1.1285e+02 	 Res : 9.4385e-01 	 Enc : 4.1212e-01 	 AEnc : 1.5898e-01 	 MSE : 4.6047e+01
Epoch 1, 50% 	 Loss : 7.7608e+01 	 Res : 6.1573e-01 	 Enc : 3.1161e-01 	 AEnc : 5.5442e-02 	 MSE : 4.3104e+01
Epoch 1, 75% 	 Loss : 5.6431e+01 	 Res : 4.0010e-01 	 Enc : 2.3719e-01 	 AEnc : 3.7581e-02 	 MSE : 3.9748e+01
Training Epoch 1 : 	 Train : 7.34942e+01 	 Res : 5.62932e-01 	 Enc : 2.94456e-01 	 AE : 7.06022e-02 	 MSE : 4.22264e+01
Validation Epoch 1 : 	 Train : 4.01982e+01 	 Res : 2.46815e-01 	 Enc : 1.85355e-01 	 AE : 2.14872e-02 	 MSE : 4.01833e+01
Training Epoch 1 finished, took current epoch 238.29s, cumulative time 484.99s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 3.7716e+01 	 Res : 2.1937e-01 	 Enc : 1.8162e-01 	 AEnc : 1.7695e-02 	 MSE : 3.8139e+01
Epoch 2, 50% 	 Loss : 3.3171e+01 	 Res : 1.8611e-01 	 Enc : 1.5701e-01 	 AEnc : 1.2597e-02 	 MSE : 3.7575e+01
Epoch 2, 75% 	 Loss : 2.8781e+01 	 Res : 1.5434e-01 	 Enc : 1.3893e-01 	 AEnc : 9.0469e-03 	 MSE : 3.5907e+01
Training Epoch 2 : 	 Train : 3.18285e+01 	 Res : 1.76989e-01 	 Enc : 1.52687e-01 	 AE : 1.18263e-02 	 MSE : 3.67251e+01
Validation Epoch 2 : 	 Train : 2.66136e+01 	 Res : 1.29682e-01 	 Enc : 1.31517e-01 	 AE : 7.75676e-03 	 MSE : 3.56362e+01
Training Epoch 2 finished, took current epoch 242.40s, cumulative time 727.34s
Current Learning rate : 0.001
MODEL SAVED
Epoch 3, 25% 	 Loss : 2.5124e+01 	 Res : 1.3032e-01 	 Enc : 1.2048e-01 	 AEnc : 6.6813e-03 	 MSE : 3.4020e+01
Epoch 3, 50% 	 Loss : 2.4325e+01 	 Res : 1.2173e-01 	 Enc : 1.1704e-01 	 AEnc : 6.3244e-03 	 MSE : 3.4401e+01
Epoch 3, 75% 	 Loss : 2.3437e+01 	 Res : 1.1494e-01 	 Enc : 1.1136e-01 	 AEnc : 5.6571e-03 	 MSE : 3.4888e+01
Training Epoch 3 : 	 Train : 2.37400e+01 	 Res : 1.18528e-01 	 Enc : 1.13605e-01 	 AE : 5.96167e-03 	 MSE : 3.40355e+01
Validation Epoch 3 : 	 Train : 2.12032e+01 	 Res : 9.36742e-02 	 Enc : 1.01714e-01 	 AE : 4.88499e-03 	 MSE : 3.30832e+01
