Train Metrics
Epoch 0, 25% 	 Loss : 9.7679e+03 	 Res : 1.9254e+02 	 Enc : 2.7119e+02 	 AEnc : 1.2959e+02 	 MSE : 2.3335e+02
Epoch 0, 50% 	 Loss : 2.6195e+03 	 Res : 1.1710e+01 	 Enc : 1.2398e+02 	 AEnc : 1.4197e+01 	 MSE : 8.0753e+01
Epoch 0, 75% 	 Loss : 5.2556e+02 	 Res : 5.8327e+00 	 Enc : 1.4745e+01 	 AEnc : 1.2618e+00 	 MSE : 5.4963e+01
Training Epoch 0 : 	 Train : 3.34524e+03 	 Res : 5.46607e+01 	 Enc : 1.04879e+02 	 AE : 3.74079e+01 	 MSE : 1.05665e+02
Validation Epoch 0 : 	 Train : 1.04186e+02 	 Res : 1.44125e+00 	 Enc : 3.81423e-01 	 AE : 2.60919e-01 	 MSE : 4.82530e+01
Training Epoch 0 finished, took current epoch 102.65s, cumulative time 102.59s
Current Learning rate : 0.001
MODEL SAVED
Epoch 1, 25% 	 Loss : 7.7379e+01 	 Res : 9.7784e-01 	 Enc : 4.0260e-01 	 AEnc : 1.4874e-01 	 MSE : 4.5950e+01
Epoch 1, 50% 	 Loss : 4.9441e+01 	 Res : 5.3913e-01 	 Enc : 3.4874e-01 	 AEnc : 4.7826e-02 	 MSE : 4.2792e+01
Epoch 1, 75% 	 Loss : 3.5549e+01 	 Res : 3.5273e-01 	 Enc : 2.7748e-01 	 AEnc : 3.1281e-02 	 MSE : 3.9324e+01
Training Epoch 1 : 	 Train : 4.82815e+01 	 Res : 5.38053e-01 	 Enc : 3.20769e-01 	 AE : 6.37039e-02 	 MSE : 4.19522e+01
Validation Epoch 1 : 	 Train : 2.66183e+01 	 Res : 2.27710e-01 	 Enc : 2.33948e-01 	 AE : 1.63955e-02 	 MSE : 3.98501e+01
Training Epoch 1 finished, took current epoch 97.59s, cumulative time 200.15s
Current Learning rate : 0.001
MODEL SAVED
Epoch 2, 25% 	 Loss : 2.4381e+01 	 Res : 2.0329e-01 	 Enc : 2.1278e-01 	 AEnc : 1.4435e-02 	 MSE : 3.8184e+01
Epoch 2, 50% 	 Loss : 2.1390e+01 	 Res : 1.7197e-01 	 Enc : 1.8376e-01 	 AEnc : 1.1057e-02 	 MSE : 3.7274e+01
Epoch 2, 75% 	 Loss : 1.8887e+01 	 Res : 1.5116e-01 	 Enc : 1.6402e-01 	 AEnc : 8.5852e-03 	 MSE : 3.6178e+01
Training Epoch 2 : 	 Train : 2.05463e+01 	 Res : 1.65813e-01 	 Enc : 1.77969e-01 	 AE : 1.04603e-02 	 MSE : 3.66317e+01
Validation Epoch 2 : 	 Train : 1.63388e+01 	 Res : 1.30233e-01 	 Enc : 1.31508e-01 	 AE : 7.80657e-03 	 MSE : 3.64200e+01
Training Epoch 2 finished, took current epoch 98.59s, cumulative time 298.72s
Current Learning rate : 0.001
MODEL SAVED
Epoch 3, 25% 	 Loss : 1.5284e+01 	 Res : 1.1730e-01 	 Enc : 1.2934e-01 	 AEnc : 6.6792e-03 	 MSE : 3.3429e+01
Epoch 3, 50% 	 Loss : 1.4013e+01 	 Res : 1.0561e-01 	 Enc : 1.1303e-01 	 AEnc : 6.1285e-03 	 MSE : 3.3187e+01
Epoch 3, 75% 	 Loss : 1.3182e+01 	 Res : 9.8714e-02 	 Enc : 1.0507e-01 	 AEnc : 5.5141e-03 	 MSE : 3.3337e+01
Training Epoch 3 : 	 Train : 1.37495e+01 	 Res : 1.04998e-01 	 Enc : 1.10562e-01 	 AE : 5.96403e-03 	 MSE : 3.28082e+01
Validation Epoch 3 : 	 Train : 1.24142e+01 	 Res : 9.02010e-02 	 Enc : 1.09843e-01 	 AE : 5.29949e-03 	 MSE : 3.06943e+01
Training Epoch 3 finished, took current epoch 98.98s, cumulative time 397.67s
Current Learning rate : 0.001
MODEL SAVED
Epoch 4, 25% 	 Loss : 1.1418e+01 	 Res : 8.5687e-02 	 Enc : 8.6775e-02 	 AEnc : 5.0520e-03 	 MSE : 3.0676e+01
Epoch 4, 50% 	 Loss : 1.0759e+01 	 Res : 8.0821e-02 	 Enc : 7.7072e-02 	 AEnc : 4.6184e-03 	 MSE : 2.9926e+01
Epoch 4, 75% 	 Loss : 1.0051e+01 	 Res : 7.4958e-02 	 Enc : 6.9435e-02 	 AEnc : 4.3159e-03 	 MSE : 2.9882e+01
Training Epoch 4 : 	 Train : 1.04752e+01 	 Res : 7.81714e-02 	 Enc : 7.37163e-02 	 AE : 4.57484e-03 	 MSE : 3.00639e+01
Validation Epoch 4 : 	 Train : 9.04209e+00 	 Res : 6.63418e-02 	 Enc : 5.47994e-02 	 AE : 3.99460e-03 	 MSE : 3.00355e+01
Training Epoch 4 finished, took current epoch 97.98s, cumulative time 495.63s
Current Learning rate : 0.001
MODEL SAVED
Epoch 5, 25% 	 Loss : 8.6938e+00 	 Res : 6.1946e-02 	 Enc : 5.3103e-02 	 AEnc : 3.8513e-03 	 MSE : 2.6803e+01
Epoch 5, 50% 	 Loss : 8.5714e+00 	 Res : 6.4943e-02 	 Enc : 4.7582e-02 	 AEnc : 3.9900e-03 	 MSE : 2.8396e+01
Epoch 5, 75% 	 Loss : 7.9486e+00 	 Res : 5.7459e-02 	 Enc : 4.4118e-02 	 AEnc : 3.2478e-03 	 MSE : 2.6847e+01
Training Epoch 5 : 	 Train : 8.29015e+00 	 Res : 6.01638e-02 	 Enc : 4.69074e-02 	 AE : 3.55926e-03 	 MSE : 2.72634e+01
